,date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover,label
83,2017-12-26,30.49,30.8,30.5,30.12,278845.59,0.13,0.43,29.808000000000003,29.581999999999997,30.176,410325.01,392624.7,493200.94,0.29,-0.009508196721311448
84,2017-12-25,30.3,31.33,30.37,30.27,506382.56,0.52,1.74,29.54,29.489,30.188000000000002,422572.71,411504.03,499547.98,0.52,-0.004280540006585413
85,2017-12-22,29.6,30.2,29.85,29.57,342206.41,0.13,0.44,29.158,29.445,30.246,405553.59,411079.32,500307.92,0.35,-0.017420435510887757
86,2017-12-21,28.72,30.19,29.72,28.63,595163.81,1.12,3.92,29.01,29.441999999999997,30.343000000000004,416358.15,435677.4,509414.75,0.61,-0.004374158815612469
87,2017-12-20,29.09,29.1,28.6,28.52,329026.69,-0.56,-1.92,29.088,29.465,30.421999999999997,373738.94,435161.74,508672.83,0.34,-0.03916083916083907
88,2017-12-19,28.66,29.25,29.16,28.4,340084.09,0.7,2.46,29.355999999999998,29.682,30.616999999999997,374924.39,441238.51,544869.98,0.35,0.0192043895747599
89,2017-12-18,29.11,29.26,28.46,28.04,421286.97,-0.65,-2.23,29.438000000000002,29.869,30.749000000000002,400435.35,463660.3,581955.21,0.43,-0.024595924104005597
90,2017-12-15,30.12,30.12,29.11,29.1,396229.19,-1.0,-3.32,29.732,30.108,30.771,416605.05,459520.61,580645.29,0.41,0.022329096530401875
91,2017-12-14,29.94,30.37,30.11,29.85,382067.75,0.17,0.57,29.874000000000002,30.27,30.76,454996.65,475641.54,589031.03,0.39,0.033211557622052475
92,2017-12-13,29.57,30.1,29.94,29.35,334953.94,0.37,1.25,29.842,30.381,30.701999999999998,496584.53,537501.32,598649.24,0.34,-0.005678022712090786
93,2017-12-12,29.73,30.36,29.57,29.51,467638.91,-0.36,-1.2,30.008000000000003,30.769000000000002,30.627,507552.63,593777.18,608955.43,0.48,-0.012512681772066317
94,2017-12-11,29.82,29.95,29.93,29.3,502135.44,0.11,0.37,30.3,30.886999999999997,30.573,526885.25,587591.94,622364.76,0.52,0.012028065486134295
95,2017-12-08,29.38,29.88,29.82,29.05,588187.19,-0.13,-0.43,30.484,31.046,30.43,502436.16,589536.52,614615.32,0.61,-0.0036887994634473317
96,2017-12-07,30.57,31.9,29.95,29.9,590007.19,-0.82,-2.67,30.666,31.244,30.314,496286.44,583152.11,600501.59,0.61,0.00434056761268778
97,2017-12-06,30.73,31.2,30.77,30.26,389794.44,-0.26,-0.84,30.92,31.379,30.2,578418.1,582183.93,582707.58,0.4,0.026649333766655844
98,2017-12-05,30.6,31.48,31.03,30.2,564302.0,0.18,0.58,31.53,31.552,30.044,680001.72,648501.46,583150.92,0.58,0.00837898807605548
99,2017-12-04,30.6,31.3,30.85,29.9,379890.0,0.12,0.39,31.474,31.628,29.885,648298.62,700250.12,573926.73,0.39,-0.005834683954619115
100,2017-12-01,30.5,32.03,30.73,30.5,557438.56,-0.49,-1.57,31.608,31.433000000000003,29.715,676636.87,701769.97,580406.49,0.57,-0.0039049788480312723
101,2017-11-30,33.1,33.4,31.22,30.68,1000665.5,-2.6,-7.69,31.822,31.25,29.588,670017.77,702420.51,575305.98,1.03,0.015695067264573943
102,2017-11-29,30.78,33.83,33.82,30.28,897712.56,3.07,9.98,31.838,31.022,29.5,585949.75,659797.17,543368.03,0.92,0.07687758722649324
103,2017-11-28,31.09,31.35,30.75,30.1,405786.47,-0.77,-2.44,31.574,30.484,29.266,617001.19,624133.69,529628.96,0.42,-0.09983739837398375
104,2017-11-27,31.45,32.6,31.52,30.59,521581.28,-0.28,-0.88,31.781999999999996,30.259,29.177,752201.62,657137.59,532503.53,0.54,0.02442893401015227
